iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
255 652.4 652.4 3.16097 0.73523 4.18124 1.75139 0.0026774875 0.0024210425
256 654.8 654.8 3.16031 0.73456 4.18171 1.75212 0.0026714475 0.0024200050000000002
257 657.0999999999999 657.0999999999999 3.15966 0.73388 4.18219 1.75282 0.0026653175 0.002417595
258 659.5 659.5 3.159 0.7332 4.18265 1.75352 0.002657075 0.0024162949999999997
259 661.9 661.9 3.15835 0.73252 4.18309 1.75417 0.002649175 0.0024104325000000003
260 664.3 664.3 3.15769 0.73184 4.18353 1.75485 0.0026439849999999997 0.0024033775
261 666.6999999999999 666.6999999999999 3.15703 0.73115 4.18396 1.75548 0.0026404774999999998 0.002403755
262 669.0999999999999 669.0999999999999 3.15637 0.73047 4.18436 1.75612 0.002636085 0.0024045675
263 671.5 671.5 3.15571 0.72978 4.18477 1.75672 0.0026304225 0.0024001125
264 673.8 673.8 3.15505 0.7291 4.18515 1.75734 0.0026251775 0.002395715
265 676.1999999999999 676.1999999999999 3.15439 0.72841 4.18554 1.7579 0.0026210575 0.0023924875
266 678.5999999999999 678.5999999999999 3.15373 0.72772 4.1859 1.75849 0.00261683 0.00239131
267 681.0 681.0 3.15307 0.72703 4.18626 1.75903 0.0026111675 0.0023893675
268 683.3 683.4 3.15241 0.72634 4.1866 1.75959 0.0026044 0.002384855
269 685.8 685.8 3.15174 0.72565 4.18693 1.7601 0.0025976725 0.0023800124999999997
270 688.1999999999999 688.3 3.15108 0.72496 4.18725 1.76064 0.00259116 0.0023758499999999997
